"Udalerri kodea","Udalerria","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48075","Orozko","73.06","102.90","136.12","159.00","199.51","238.01","270.08","288.96","330.17","371.64","427.99","488.12"
"48083","Ortuella","152.81","204.11","256.55","377.13","458.75","531.44","292.95","340.76","384.25","401.38","122.08","47.07"
"48072","Otxandio","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.67","27.14","66.74","31.95"
"01043","Oyón-Oion","433.28","521.84","612.96","696.45","678.14","757.07","430.55","487.90","545.68","603.33","599.91","644.53"
"20059","Oñati","247.05","328.92","413.82","498.39","366.36","352.01","331.37","375.60","380.79","384.19","510.03","511.88"
"20064","Pasaia","189.39","200.61","125.53","255.38","267.42","520.10","426.27","408.51","346.36","293.56","214.24","269.48"
"01044","Peñacerrada-Urizaharra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.09","33.16"
"48077","Plentzia","67.82","80.45","92.85","105.15","127.35","153.37","38.07","50.94","63.62","76.03","91.17","105.14"
"48078","Portugalete","93.88","109.05","124.71","139.24","155.92","36.27","46.03","56.90","276.95","105.91","129.16","152.00"
"01047","Ribera Baja/Erribera Beitia","0.40","0.40","361.11","381.29","406.39","0.00","0.00","0.00","0.00","0.00","3.32","3.56"
"01051","Salvatierra/Agurain","1105.09","1133.06","1211.34","648.13","797.09","586.93","383.12","462.50","323.78","391.40","380.88","343.86"
"01052","Samaniego","590.14","672.08","661.63","711.30","791.67","421.77","507.83","566.12","666.37","751.89","810.60","833.69"
"01053","San Millán/Donemiliaga","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48082","Santurtzi","409.10","434.96","436.76","407.41","165.37","39.80","12.96","14.33","25.54","38.60","58.04","90.27"
"20070","Segura","613.37","673.52","769.91","840.47","889.11","480.85","547.99","229.93","461.36","528.90","580.02","469.23"
"48084","Sestao","29.51","31.07","68.64","68.21","0.00","76.19","144.72","77.76","78.87","58.64","41.95","35.44"
"48904","Sondika","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48085","Sopela","0.00","0.00","49.45","54.21","0.00","0.00","0.00","0.00","1.11","2.44","12.72","36.64"
"48086","Sopuerta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.34"
"20065","Soraluze-Placencia de las Armas","382.65","414.58","90.69","512.43","576.97","838.36","666.54","657.77","724.54","788.30","756.04","798.82"
"48076","Sukarrieta","0.00","0.00","0.00","0.00","0.00","0.00","0.00","74.04","144.72","216.47","287.81","0.00"
