"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"01047","Ribera Baja/Erribera Beitia","3.89","3.89","3.89","3.89","3.89","3.57","3.57","3.57","3.57","3.57","3.57"
"01051","Salvatierra/Agurain","1.26","1.26","1.26","1.26","1.26","1.53","1.53","1.53","1.54","1.54","1.54"
"01052","Samaniego","0.53","0.53","0.53","0.53","0.53","0.54","0.54","0.54","0.54","0.54","0.54"
"01053","San Millán/Donemiliaga","0.40","0.40","0.40","0.40","0.40","0.40","0.40","0.54","0.55","0.55","0.55"
"48082","Santurtzi","3.83","3.83","3.72","3.72","3.17","3.84","3.93","3.92","3.55","3.55","3.55"
"20070","Segura","0.71","0.71","0.71","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"48084","Sestao","2.82","2.82","2.82","2.82","2.11","2.18","2.18","2.18","2.28","2.28","2.28"
"48904","Sondika","8.62","8.62","8.62","8.62","8.62","9.36","8.55","8.55","8.59","8.59","8.61"
"48085","Sopela","2.97","3.00","3.00","3.00","3.00","2.96","2.96","2.96","3.13","3.13","3.13"
"48086","Sopuerta","0.57","0.57","0.57","0.57","0.57","0.57","0.57","0.56","0.63","0.63","0.63"
"20065","Soraluze-Placencia de las Armas","0.90","0.90","0.90","0.89","0.89","0.89","1.02","1.02","0.79","0.79","0.79"
"48076","Sukarrieta","1.28","1.28","1.28","1.28","1.28","0.87","0.87","0.87","0.86","0.86","0.86"
"20071","Tolosa","1.16","1.16","1.16","1.16","1.16","1.15","1.14","1.09","1.10","1.10","1.10"
"48087","Trucios-Turtzioz","0.13","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.17","0.17","0.17"
"48088","Ubide","0.77","0.77","0.77","0.77","0.77","0.74","0.74","0.74","0.50","0.50","0.50"
"48065","Ugao-Miraballes","4.66","4.66","4.66","4.66","4.66","4.70","4.70","4.70","4.81","4.43","4.36"
"48089","Urduliz","4.52","3.99","3.99","3.99","3.99","3.99","3.99","3.99","4.00","3.96","4.00"
"48074","Urduña/Orduña","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.53","0.64","0.64","0.64"
"01054","Urkabustaiz","0.54","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51","0.51"
"20072","Urnieta","1.97","1.97","1.97","0.39","0.39","0.39","0.40","0.40","0.42","0.42","0.42"
"20077","Urretxu","2.03","2.03","2.03","1.99","1.99","1.18","1.19","1.19","1.19","1.19","1.19"
"20073","Usurbil","1.54","1.54","1.54","1.54","1.54","0.90","2.14","2.14","2.16","2.16","2.16"
"01055","Valdegovía/Gaubea","0.31","0.31","0.31","0.31","0.31","0.30","0.31","0.31","0.31","0.31","0.31"
"48080","Valle de Trápaga-Trapagaran","7.26","1.76","1.76","1.76","1.40","1.37","1.37","1.37","1.36","1.36","1.36"
"20075","Villabona","1.67","1.67","1.67","1.34","1.34","1.33","1.33","1.66","1.66","1.66","1.66"
"01057","Villabuena de Álava/Eskuernaga","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28","0.28"
"01059","Vitoria-Gasteiz","2.36","2.36","2.36","2.36","2.36","2.36","2.35","2.36","2.37","2.37","2.50"
"01060","Yécora/Iekora","0.46","0.46","0.46","0.46","0.46","0.45","0.45","0.45","0.45","0.45","0.45"
"48095","Zaldibar","1.48","1.48","1.48","1.48","1.48","1.46","1.44","1.44","1.12","1.12","1.12"
"20078","Zaldibia","0.47","0.47","0.47","0.47","0.35","0.36","0.66","0.66","0.66","0.66","0.66"
"01061","Zalduondo","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29","0.29"
"48096","Zalla","2.83","2.83","2.83","2.83","2.83","2.87","2.87","2.87","2.97","3.00","3.00"
"01062","Zambrana","0.83","0.83","0.83","0.83","0.83","0.84","0.84","0.84","0.84","0.84","0.84"
"48905","Zamudio","4.37","4.31","4.31","4.31","4.32","4.33","3.90","3.90","3.01","2.97","2.97"
"48097","Zaratamo","2.59","1.17","1.17","1.17","1.17","1.19","1.19","0.89","1.07","1.07","1.07"
"20079","Zarautz","1.54","1.54","1.54","1.54","1.54","1.53","1.53","1.53","2.13","2.13","2.13"
"48024","Zeanuri","0.25","0.25","0.25","0.25","0.25","0.25","0.23","0.23","0.17","0.17","0.17"
"48025","Zeberio","0.13","0.13","0.13","0.13","0.13","0.14","0.14","0.14","0.18","0.14","0.14"
"20025","Zegama","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.26","0.26"
"20026","Zerain","0.43","0.43","0.43","0.43","0.43","0.42","0.39","0.39","0.33","0.33","0.33"
"20027","Zestoa","0.72","0.72","0.72","0.71","0.71","0.71","1.11","1.11","1.11","1.11","1.10"
