"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"48055","Lemoa","0.87","14.99","15.31","18.10","51.23","52.99","39.29","97.76","122.05","98.10","99.93","132.96","93.79"
"48056","Lemoiz","5.30","59.47","61.15","64.36","149.56","163.18","106.60","163.37","172.75","74.56","71.03","72.87","14.61"
"01034","Leza","4.69","9.22","9.05","17.86","22.12","35.09","57.27","57.52","58.56","45.87","70.09","57.14","68.29"
"48081","Lezama","0.41","0.40","1.21","3.23","3.65","4.11","10.03","27.32","38.85","56.25","80.98","98.38","92.86"
"20053","Lezo","7.81","6.31","10.30","13.14","13.16","13.70","10.22","6.22","21.34","21.20","20.93","24.90","25.49"
"20054","Lizartza","17.21","17.03","15.48","15.50","17.27","7.96","9.69","9.82","39.67","46.59","41.88","40.47","45.61"
"48903","Loiu","0.00","0.00","0.00","0.00","0.86","6.17","6.81","67.73","69.69","111.82","114.19","146.74","90.69"
"48058","Mallabia","1.66","4.17","5.87","5.92","6.80","6.86","6.92","9.64","27.41","29.46","31.36","31.42","27.85"
"48060","Markina-Xemein","4.22","4.23","0.20","2.23","28.55","29.85","33.58","52.48","60.32","41.38","48.36","46.99","39.00"
"48061","Maruri-Jatabe","21.16","9.65","8.66","106.08","106.58","114.06","116.47","122.42","18.75","28.68","38.51","41.91","59.54"
"48059","Mañaria","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.40","19.74","21.69"
"20901","Mendaro","0.00","0.00","1.03","1.05","1.08","17.67","57.16","76.92","79.98","75.81","121.65","149.76","145.07"
"48062","Mendata","2.65","10.55","13.16","10.53","18.47","21.16","18.97","19.39","19.66","8.60","43.86","38.24","41.42"
"48063","Mendexa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.15","16.76","20.00","20.29"
"48064","Meñaka","8.10","12.26","13.87","14.18","39.53","34.59","34.32","40.45","48.99","33.51","40.44","37.74","34.88"
"01039","Moreda de Álava / Moreda Araba","4.17","0.00","0.00","19.69","23.08","22.64","22.14","25.55","7.22","7.17","10.64","14.08","13.94"
"48066","Morga","9.62","9.62","9.66","17.11","17.20","9.88","12.44","22.28","26.89","36.50","50.97","53.66","47.15"
"48068","Mundaka","3.65","5.71","3.62","3.64","3.67","30.62","31.97","48.39","56.60","57.78","43.38","46.87","42.79"
"48069","Mungia","14.14","17.80","17.21","26.14","26.14","18.71","14.01","23.78","25.84","36.73","45.96","57.82","57.25"
"48007","Munitibar-Arbatzegi Gerrikaitz-","0.00","0.00","0.00","0.00","36.95","95.72","228.79","234.38","293.96","203.12","201.03","69.41","69.41"
"48908","Murueta","9.74","12.99","6.49","9.77","16.23","61.89","59.80","74.07","72.92","79.42","45.98","80.32","97.87"
"48071","Muskiz","0.13","0.13","0.13","0.14","0.14","0.00","21.57","25.33","39.69","46.25","53.38","36.79","36.15"
"20057","Mutiloa","0.00","27.78","28.34","28.81","29.66","44.05","33.18","189.74","233.33","238.10","254.66","243.75","55.56"
"20056","Mutriku","0.39","0.39","0.59","44.61","51.78","57.74","65.96","68.84","25.85","12.77","19.67","12.75","15.02"
"48067","Muxika","9.60","21.20","21.12","22.51","24.17","31.01","37.55","51.19","57.62","55.73","57.93","39.25","25.34"
"48909","Nabarniz","34.19","42.74","51.72","56.28","51.95","78.60","70.18","78.95","78.95","44.05","44.05","48.46","48.25"
"01041","Navaridas","4.55","4.63","4.65","4.67","4.67","0.00","4.69","9.39","14.22","14.22","18.87","18.87","18.69"
"20063","Oiartzun","17.65","17.42","17.25","19.01","10.00","3.65","10.59","10.65","8.88","12.32","16.92","30.28","38.79"
"01042","Okondo","0.87","0.87","1.77","2.68","2.73","94.88","181.99","184.01","195.87","197.77","114.74","41.62","54.61"
"20058","Olaberria","4.25","4.23","6.34","28.36","28.39","37.97","38.22","38.63","25.05","29.51","21.79","44.61","48.34"
"48073","Ondarroa","1.49","1.48","1.47","9.56","13.65","22.83","22.54","22.19","14.20","0.00","0.10","0.20","0.20"
"20076","Ordizia","16.82","19.81","28.13","30.49","28.72","29.93","32.74","28.66","32.02","33.91","32.35","30.64","39.93"
"20905","Orendain","0.00","0.00","0.00","5.43","16.39","16.67","40.00","41.18","47.90","55.90","122.58","139.07","154.36"
"20060","Orexa","0.00","0.00","0.00","0.00","0.00","0.00","111.11","118.81","127.66","137.93","142.86","0.00","0.00"
"20061","Orio","27.46","37.20","53.13","47.68","51.49","57.55","39.93","44.88","54.78","43.20","37.40","37.81","31.08"
"20062","Ormaiztegi","7.64","7.62","0.00","0.00","0.00","0.00","2.33","21.19","21.58","28.62","29.07","107.93","89.51"
"48075","Orozko","8.18","53.44","69.62","85.28","85.90","81.26","33.55","16.77","1.31","0.44","0.45","0.00","28.71"
"48083","Ortuella","31.15","34.11","24.77","30.15","30.15","8.44","11.57","13.17","9.15","14.30","15.51","20.66","22.87"
"48072","Otxandio","11.65","13.21","22.76","17.46","12.14","12.48","11.21","0.89","0.00","0.00","32.95","40.12","46.21"
"01043","Oyón-Oion","2.43","6.09","13.53","40.72","49.70","65.74","72.24","84.88","71.73","88.25","86.00","95.47","101.86"
"20059","Oñati","7.69","14.20","16.29","24.25","36.45","46.52","55.36","57.76","53.18","42.26","29.32","23.82","27.02"
"20064","Pasaia","3.14","24.25","22.22","22.12","24.12","23.94","4.48","4.54","5.46","4.39","4.37","2.87","3.20"
"01044","Peñacerrada-Urizaharra","7.27","7.14","7.04","21.05","50.18","91.24","154.14","160.92","180.77","162.16","155.64","125.00","129.41"
"48077","Plentzia","0.92","0.93","0.93","3.04","4.73","6.46","11.93","43.45","60.24","61.98","66.90","79.64","54.74"
"48078","Portugalete","3.57","3.77","3.75","7.32","6.01","6.95","11.64","11.53","8.77","10.73","10.62","9.53","13.63"
"01047","Ribera Baja/Erribera Beitia","1.49","1.51","0.77","2.37","29.41","50.85","70.98","83.26","143.56","107.79","177.02","300.65","367.16"
"01051","Salvatierra/Agurain","0.40","0.41","0.61","13.25","24.80","39.92","59.54","144.65","154.93","151.80","140.74","127.57","60.19"
"01052","Samaniego","12.70","34.16","33.54","45.59","46.15","93.75","82.28","120.25","111.82","124.60","69.84","72.78","38.34"
"01053","San Millán/Donemiliaga","12.38","13.74","16.55","26.43","27.62","26.32","27.74","30.56","51.82","72.34","79.55","91.69","99.57"
"48082","Santurtzi","2.84","2.96","3.14","3.15","1.68","1.83","1.32","4.22","9.80","12.81","25.49","35.01","37.13"
"20070","Segura","0.00","0.00","0.00","0.00","39.83","50.81","82.25","97.50","118.91","74.37","73.62","42.74","32.10"
"48084","Sestao","7.91","8.16","3.65","3.63","2.96","1.45","1.14","0.00","0.33","1.52","1.56","4.38","4.31"
"48904","Sondika","3.08","3.08","25.35","26.97","38.44","39.81","43.36","23.58","22.79","18.25","27.52","53.60","57.64"
"48085","Sopela","27.29","24.62","13.47","12.91","13.88","10.64","18.15","21.31","38.31","35.13","33.25","34.67","41.39"
"48086","Sopuerta","23.20","22.90","22.22","44.97","48.46","99.51","105.29","109.04","107.08","67.19","30.67","52.33","53.88"
