"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Errigoiti",NA,NA,NA,NA,NA,"0","0","0","0","0","1.94","1.95","1.84","1.83","1.83","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Eskoriatza",NA,NA,NA,NA,NA,"3.08","3.08","2.3","2.03","2.49","2.74","2.71","2.47","1.98","1.73","1.72","1.96","1.96",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Etxebarri",NA,NA,NA,NA,NA,"3.62","3.94","3.98","4.49","4.43","5.15","4.91","4.14","3.52","3.42","3.19","2.96","2.65",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Etxebarria",NA,NA,NA,NA,NA,"0","0","0","0","1.21","1.21","0","0","1.24","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Ezkio-Itsaso",NA,NA,NA,NA,NA,"3.53","3.5","1.78","1.79","3.48","3.48","3.4","1.64","1.62","1.62","1.65","3.26","1.62",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Forua",NA,NA,NA,NA,NA,"0.99","1","1.02","1.03","1.02","1.02","0.98","1","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Fruiz",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","1.84",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gabiria",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gaintza",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Galdakao",NA,NA,NA,NA,NA,"7.31","7.84","8","8.2","9.04","9.24","9.79","9.91","9.63","8.87","8.02","7.77","7.6",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Galdames",NA,NA,NA,NA,NA,"1.24","1.23","1.22","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gamiz-Fika",NA,NA,NA,NA,NA,"0.81","0.79","0.78","0.78","0.78","0.78","0.76","0.75","0.75","0.75","0.74","0.74","0.74",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Garai",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gatika",NA,NA,NA,NA,NA,"2.28","1.48","2.16","1.39","1.34","1.34","0","0.63","1.25","1.25","0.62","0.61","0.6",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gautegiz Arteaga",NA,NA,NA,NA,NA,"1.14","0","0","0","0","0","0","0","0","0","0","0","1.17",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gaztelu",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gernika-Lumo",NA,NA,NA,NA,NA,"13.21","13.87","13.45","14.25","14.43","15.17","14.71","14.11","13.11","13.11","12.83","12.57","12.55",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Getaria",NA,NA,NA,NA,NA,"5.2","5.54","5.52","6.73","7.43","7.04","4.95","4.49","3.74","3.37","4.07","3.63","3.57",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Getxo",NA,NA,NA,NA,NA,"8.49","8.86","9.01","9.13","9.66","9.58","9.45","9.05","8.79","8.24","7.93","7.68","7.59",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gizaburuaga",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","4.88","9.76","14.02","14.08","14.22",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gordexola",NA,NA,NA,NA,NA,"2.6","1.28","1.27","1.86","2.99","2.99","3.45","4.58","4.58","4.01","2.92","2.92","3.52",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
"Gorliz",NA,NA,NA,NA,NA,"4.04","3.95","4.03","3.91","4.2","4.97","5.56","4.9","4.53","4.16","3.73","3.71","3.7",NA,"Densidad comercial de bienes ocasionales (‰ habitantes)"
