"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Ispaster",NA,NA,NA,NA,NA,NA,NA,"166.67","179.65","187.31","280.97","187.13",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Itsasondo",NA,NA,NA,NA,NA,NA,NA,"262.27","254.1","245.64","238.83","234.49",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Iurreta",NA,NA,NA,NA,NA,NA,NA,"196.1","199.01","198.5","237.43","238.98",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Izurtza",NA,NA,NA,NA,NA,NA,NA,"382.47","391.84","369.23","372.09","355.56",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Karrantza Harana/Valle de Carranza",NA,NA,NA,NA,NA,NA,NA,"88.09","88.78","95.37","96.09","96.91",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Kortezubi",NA,NA,NA,NA,NA,NA,NA,"38.27","37.22","97.8","97.09","95.47",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Kripan",NA,NA,NA,NA,NA,NA,NA,"319.15","326.09","679.35","644.33","641.03",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Kuartango",NA,NA,NA,NA,NA,NA,NA,"510.99","519.55","521.01","521.01","523.94",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Labastida/Bastida",NA,NA,NA,NA,NA,NA,NA,"628.31","477.29","504.32","507.36","501.7",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Lagrán",NA,NA,NA,NA,NA,NA,NA,"1167.54","1149.48","1173.68","1198.92","1252.81",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Lanciego/Lantziego",NA,NA,NA,NA,NA,NA,NA,"297.18","291.12","366.03","372.23","362.07",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Lanestosa",NA,NA,NA,NA,NA,NA,NA,"609.32","629.25","681.82","682.93","720.59",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Lantarón",NA,NA,NA,NA,NA,NA,NA,"12.54","12.45","12.79","12.22","12.54",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Lapuebla de Labarca",NA,NA,NA,NA,NA,NA,NA,"1781.47","412.7","400","415.05","420.32",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Larrabetzu",NA,NA,NA,NA,NA,NA,NA,"325.92","311.14","294.57","294.56","287.95",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
"Larraul",NA,NA,NA,NA,NA,NA,NA,"169.49","211.54","355.65","341.37","335.97",NA,NA,NA,NA,NA,NA,NA,"Puntos de alumbrado público (‰ habitantes)"
