"Udalerri kodea","Udalerria","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"48056","Lemoiz","8.15","8.99","8.06","7.16","8.84","6.82","7.59","8.22","5.74","7.88","5.05","5.67","3.30"
"01034","Leza","5.26","14.04","10.00","5.56","5.36","3.51","1.85","1.72","3.85","0.00","5.36","5.45","1.61"
"48081","Lezama","7.94","9.22","9.57","9.83","9.08","7.38","6.32","6.95","4.45","3.21","2.25","3.46","3.59"
"20053","Lezo","9.60","9.25","9.79","11.50","11.31","8.56","8.28","8.97","5.64","5.47","6.44","6.35","5.87"
"20054","Lizartza","9.76","8.54","10.12","14.20","12.29","11.05","6.99","5.64","5.76","3.17","4.71","2.67","2.59"
"48903","Loiu","5.75","6.03","7.15","7.12","6.01","4.48","5.23","4.30","4.23","3.34","2.82","3.11","2.98"
"48058","Mallabia","4.66","6.58","10.39","9.97","11.17","8.63","10.54","10.51","6.27","3.98","1.75","3.88","3.45"
"48060","Markina-Xemein","6.09","6.56","6.87","6.32","8.30","7.05","6.03","4.48","5.07","2.83","3.16","3.33","3.20"
"48061","Maruri-Jatabe","4.36","5.70","7.00","6.67","5.77","5.31","4.00","4.73","2.99","2.06","4.11","5.23","4.00"
"48059","Mañaria","6.83","7.45","10.06","6.79","9.55","10.39","4.24","4.88","3.85","4.17","2.68","2.65","3.27"
"20901","Mendaro","9.18","10.20","11.45","12.65","12.39","10.22","9.88","9.39","6.77","4.87","4.64","5.99","4.46"
"48062","Mendata","9.17","6.42","4.59","5.56","6.67","3.70","8.33","5.31","4.46","1.77","2.65","2.59","3.77"
"48063","Mendexa","2.68","3.36","6.21","4.86","6.29","7.69","8.57","10.29","5.71","3.76","3.82","5.56","5.36"
"48064","Meñaka","5.02","5.48","5.75","7.36","6.33","5.00","5.68","4.39","4.27","4.74","1.95","3.05","2.25"
"01039","Moreda de Álava / Moreda Araba","4.23","8.45","12.33","8.57","7.14","5.71","7.14","2.86","4.41","1.41","2.60","1.37","1.41"
"48066","Morga","9.60","4.00","7.38","7.38","7.75","6.67","8.20","4.84","2.59","2.75","1.79","2.73","2.70"
"48068","Mundaka","8.44","7.91","9.40","8.25","6.89","5.06","6.07","5.80","3.23","4.58","5.92","4.74","5.32"
"48069","Mungia","9.98","10.13","10.83","10.38","10.04","8.92","9.04","8.39","6.43","5.51","6.46","7.17","4.88"
"48007","Munitibar-Arbatzegi Gerrikaitz-","1.59","7.14","3.03","2.26","3.20","3.25","4.07","5.08","1.79","1.96","5.38","3.23","2.17"
"48908","Murueta","8.82","5.88","6.80","12.62","13.13","9.18","7.84","8.74","4.90","3.00","7.14","5.15","3.37"
"48071","Muskiz","11.98","12.55","13.59","12.99","12.44","11.13","8.82","8.11","6.29","4.96","5.25","7.19","5.84"
"20057","Mutiloa","5.97","8.96","8.57","9.72","7.25","9.09","4.35","8.82","6.45","4.84","5.17","0.00","4.55"
"20056","Mutriku","8.33","8.57","9.14","9.63","10.21","10.56","8.53","8.06","8.54","6.71","6.92","8.33","7.71"
"48067","Muxika","7.19","9.35","7.88","7.80","7.29","8.51","6.73","6.47","6.74","3.39","3.13","3.51","3.36"
"48909","Nabarniz","2.44","1.22","4.05","4.05","2.86","1.45","2.78","4.17","5.41","7.04","5.71","1.59","1.43"
