"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"01039","Moreda de Álava / Moreda Araba","39.11","33.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48066","Morga","12.82","8.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48068","Mundaka","71.85","34.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48069","Mungia","66.61","36.49","1.56","1.56","1.58","1.59","1.60","1.61","0.00","0.00","0.00","0.00"
"48007","Munitibar-Arbatzegi Gerrikaitz-","66.28","57.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48908","Murueta","80.25","6.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48071","Muskiz","84.85","43.20","111.08","111.08","111.08","54.30","54.30","54.39","34.78","22.37","23.08","10.68"
"20057","Mutiloa","22.22","7.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20056","Mutriku","47.32","25.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48067","Muxika","8.16","3.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48909","Nabarniz","38.71","19.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01041","Navaridas","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20063","Oiartzun","38.98","18.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01042","Okondo","13.24","5.88","41.24","41.24","41.24","41.48","41.54","41.60","84.85","114.29","118.64","118.64"
"20058","Olaberria","500.00","4.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48073","Ondarroa","86.56","32.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20076","Ordizia","67.67","43.24","6.02","6.19","6.36","6.41","6.56","6.58","0.00","0.00","0.00","0.00"
"20905","Orendain","57.14","9.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20060","Orexa","23.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20061","Orio","118.25","92.18","12.47","12.55","12.55","13.14","13.53","13.41","13.55","14.01","12.82","12.83"
"20062","Ormaiztegi","77.06","21.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48075","Orozko","56.77","38.18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48083","Ortuella","67.46","44.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48072","Otxandio","28.83","6.07","36.42","36.47","36.47","36.47","36.42","36.53","0.00","0.00","0.00","0.00"
"01043","Oyón-Oion","60.59","19.22","2.41","2.44","2.45","2.46","2.50","2.65","0.00","0.00","0.00","0.00"
"20059","Oñati","48.22","34.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20064","Pasaia","174.89","86.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01044","Peñacerrada-Urizaharra","31.70","20.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48077","Plentzia","72.54","37.38","8.90","8.90","8.92","8.92","8.92","8.93","8.97","8.97","8.98","9.04"
"48078","Portugalete","120.71","62.37","3.18","3.18","3.23","3.23","3.23","3.25","3.26","3.26","3.29","3.29"
"01047","Ribera Baja/Erribera Beitia","45.61","21.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"01051","Salvatierra/Agurain","110.52","50.53","104.77","82.58","28.40","28.40","28.40","29.13","29.84","31.86","33.21","38.83"
