"Udalerri kodea","Udalerria","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"20070","Segura","2.40","1.89","2.10","2.49","2.66","1.98","2.15","1.60","1.97","1.86","2.26"
"48084","Sestao","2.44","2.40","2.57","2.20","2.24","2.53","1.98","2.19","2.21","2.18","2.31"
"48904","Sondika","3.52","3.20","4.23","3.75","3.22","2.92","2.25","2.32","2.15","2.06","1.97"
"48085","Sopela","2.48","2.24","2.00","2.06","2.35","2.42","2.23","2.30","2.13","2.13","2.04"
"48086","Sopuerta","8.20","6.67","6.48","5.18","4.40","6.07","4.60","4.58","4.19","3.58","4.75"
"20065","Soraluze-Placencia de las Armas","2.51","2.16","2.30","2.49","2.34","2.37","2.01","1.77","1.86","2.03","1.82"
"48076","Sukarrieta","2.12","2.77","1.79","2.43","1.83","2.14","1.44","1.98","2.13","1.74","1.74"
"20071","Tolosa","2.45","2.36","2.33","2.32","2.21","2.65","2.33","2.21","2.07","2.05","2.04"
"48087","Trucios-Turtzioz","2.00","2.06","2.18","2.46","2.57","2.44","1.97","1.93","1.88","2.12","2.15"
"48088","Ubide","2.25","1.67","5.00","1.00","3.00","5.00","1.00","1.20","3.00","1.40","4.25"
"48065","Ugao-Miraballes","3.07","2.29","2.05","2.15","2.18","2.33","1.85","2.19","2.10","2.15","1.94"
"48089","Urduliz","2.65","2.12","1.94","2.31","2.48","2.26","2.20","2.23","2.92","3.23","2.66"
"48074","Urduña/Orduña","5.57","5.03","5.97","5.92","5.94","5.95","4.63","2.61","2.47","2.38","2.59"
"01054","Urkabustaiz","2.56","2.22","2.66","2.18","2.07","1.61","1.78","1.64","2.34","2.00","1.51"
"20072","Urnieta","3.01","2.79","2.78","2.66","2.99","3.28","3.08","2.66","2.79","2.57","2.81"
"20077","Urretxu","3.26","3.10","2.87","2.59","2.44","2.70","2.25","2.02","1.76","1.89","1.93"
"20073","Usurbil","3.61","3.42","3.22","2.89","2.61","2.69","2.33","2.15","2.30","2.36","2.32"
"01055","Valdegovía/Gaubea","2.53","3.77","4.25","2.52","2.45","2.34","2.08","2.30","3.39","7.47","5.91"
"48080","Valle de Trápaga-Trapagaran","2.97","2.50","2.55","2.25","2.42","2.75","2.53","2.59","2.43","2.35","2.17"
"20075","Villabona","3.04","2.70","2.31","2.40","2.56","3.15","2.42","2.23","2.14","1.98","2.31"
"01057","Villabuena de Álava/Eskuernaga","1.97","1.99","2.03","2.39","1.77","2.28","1.55","1.43","1.33","1.28","1.41"
"01059","Vitoria-Gasteiz","3.25","2.98","2.83","2.74","2.72","2.92","2.51","2.50","2.55","2.54","2.53"
"01060","Yécora/Iekora","2.92","2.88","2.19","1.84","1.69","2.03","1.63","1.62","1.49","1.38","1.38"
"48095","Zaldibar","3.53","3.22","3.20","2.85","3.40","3.60","2.54","3.03","2.75","2.41","2.01"
"20078","Zaldibia","2.28","1.89","1.61","1.79","2.16","2.54","1.70","1.51","1.85","1.70","1.95"
"01061","Zalduondo","2.00","4.62","7.00","1.00","2.67","3.00","1.60",NA,NA,"3.00","0.00"
"48096","Zalla","4.03","3.29","3.83","3.81","3.61","3.20","2.88","3.35","2.88","2.76","2.57"
"01062","Zambrana","1.72","1.20","1.50","2.27","2.59","3.16","2.19","2.98","3.82","3.50","3.41"
"48905","Zamudio","3.27","3.44","3.16","2.89","2.94","3.11","2.48","2.37","2.39","2.34","2.17"
"48097","Zaratamo","2.70","2.56","2.53","2.39","2.41","2.14","2.97","2.85","2.64","2.61","2.66"
"20079","Zarautz","2.65","2.61","2.71","2.64","2.52","2.63","2.24","2.29","2.13","2.08","2.04"
"48024","Zeanuri","1.64","1.62","1.60","1.92","1.70","1.81","1.72","1.88","2.29","2.09","1.76"
"48025","Zeberio","2.42","2.47","2.04","2.98","2.82","3.00","2.05","2.26","2.35","2.69","2.12"
"20025","Zegama","1.76","2.09","1.86","2.02","1.78","1.85","1.54","1.71","1.58","1.75","1.92"
"20026","Zerain","1.96","1.69","1.67","1.65","1.62","1.77","1.32","1.65","1.46","1.72","1.86"
"20027","Zestoa","2.36","2.24","1.96","2.66","2.68","3.04","2.57","2.44","2.73","2.85","3.17"
